distribution,dataset_size,method,epsilon_mean,PE_max_mean
d1,3000,Apple,10.0,1.36
d1,3000,CLiP-tuned,3.84,4.84
d1,4000,Apple,10.0,1.26
d1,4000,CLiP-tuned,3.84,5.02
d1,6000,Apple,10.0,0.86
d1,6000,CLiP-tuned,2.95,5.13
d1,7000,Apple,10.0,1.07
d1,7000,CLiP-tuned,2.57,4.74
d2,3000,Apple,13.0,0.94
d2,3000,CLiP-tuned,4.5,4.74
d2,4000,Apple,13.0,1.01
d2,4000,CLiP-tuned,4.2,5.0
d2,6000,Apple,13.0,0.72
d2,6000,CLiP-tuned,3.52,4.84
d2,7000,Apple,13.0,0.95
d2,7000,CLiP-tuned,3.44,4.75
d3,3000,Apple,7.0,22.84
d3,3000,CLiP-tuned,4.83,6.36
d3,4000,Apple,7.0,18.58
d3,4000,CLiP-tuned,5.78,5.92
d3,6000,Apple,7.0,12.65
d3,6000,CLiP-tuned,6.28,5.67
d3,7000,Apple,7.0,15.5
d3,7000,CLiP-tuned,5.34,5.27
d4,3000,Apple,10.0,11.18
d4,3000,CLiP-tuned,8.83,5.44
d4,4000,Apple,10.0,9.14
d4,4000,CLiP-tuned,8.0,4.99
d4,6000,Apple,10.0,10.44
d4,6000,CLiP-tuned,8.42,5.72
d4,7000,Apple,10.0,5.2
d4,7000,CLiP-tuned,8.12,5.56
