distribution,dataset_size,method,repeat,epsilon,PE_max,seed
d1,3000,Apple,0,10.0,1.25,42
d1,3000,Apple,1,10.0,1.65,43
d1,3000,Apple,2,10.0,1.2,44
d1,3000,Apple,3,10.0,2.2,45
d1,3000,Apple,4,10.0,1.06,46
d1,3000,Apple,5,10.0,1.61,42
d1,3000,Apple,6,10.0,1.11,43
d1,3000,Apple,7,10.0,1.11,44
d1,3000,Apple,8,10.0,0.97,45
d1,3000,Apple,9,10.0,1.47,46
d1,3000,CLiP-tuned,0,3.8,4.85,42
d1,3000,CLiP-tuned,1,3.3,5.14,43
d1,3000,CLiP-tuned,2,3.7,5.57,44
d1,3000,CLiP-tuned,3,2.8,4.69,45
d1,3000,CLiP-tuned,4,4.5,5.14,46
d1,3000,CLiP-tuned,5,2.7,4.09,42
d1,3000,CLiP-tuned,6,5.5,4.11,43
d1,3000,CLiP-tuned,7,4.1,4.76,44
d1,3000,CLiP-tuned,8,4.8,4.18,45
d1,3000,CLiP-tuned,9,3.2,5.83,46
d1,4000,Apple,0,10.0,1.48,42
d1,4000,Apple,1,10.0,1.78,43
d1,4000,Apple,2,10.0,1.78,44
d1,4000,Apple,3,10.0,2.39,45
d1,4000,Apple,4,10.0,0.97,46
d1,4000,Apple,5,10.0,0.66,42
d1,4000,Apple,6,10.0,1.17,43
d1,4000,Apple,7,10.0,1.08,44
d1,4000,Apple,8,10.0,0.76,45
d1,4000,Apple,9,10.0,0.55,46
d1,4000,CLiP-tuned,0,3.8,4.44,42
d1,4000,CLiP-tuned,1,3.8,6.3,43
d1,4000,CLiP-tuned,2,4.1,4.27,44
d1,4000,CLiP-tuned,3,3.5,4.77,45
d1,4000,CLiP-tuned,4,2.0,5.56,46
d1,4000,CLiP-tuned,5,3.8,5.66,42
d1,4000,CLiP-tuned,6,2.5,5.35,43
d1,4000,CLiP-tuned,7,4.0,5.43,44
d1,4000,CLiP-tuned,8,6.3,4.3,45
d1,4000,CLiP-tuned,9,4.6,4.14,46
d1,6000,Apple,0,10.0,1.18,42
d1,6000,Apple,1,10.0,0.97,43
d1,6000,Apple,2,10.0,0.77,44
d1,6000,Apple,3,10.0,0.77,45
d1,6000,Apple,4,10.0,0.63,46
d1,6000,Apple,5,10.0,0.57,42
d1,6000,Apple,6,10.0,0.63,43
d1,6000,Apple,7,10.0,1.31,44
d1,6000,Apple,8,10.0,1.04,45
d1,6000,Apple,9,10.0,0.77,46
d1,6000,CLiP-tuned,0,3.8,5.48,42
d1,6000,CLiP-tuned,1,2.5,4.08,43
d1,6000,CLiP-tuned,2,3.7,5.84,44
d1,6000,CLiP-tuned,3,1.7,5.65,45
d1,6000,CLiP-tuned,4,2.2,4.48,46
d1,6000,CLiP-tuned,5,3.8,5.66,42
d1,6000,CLiP-tuned,6,2.5,4.32,43
d1,6000,CLiP-tuned,7,2.4,5.45,44
d1,6000,CLiP-tuned,8,4.5,4.64,45
d1,6000,CLiP-tuned,9,2.4,5.7,46
d1,7000,Apple,0,10.0,0.89,42
d1,7000,Apple,1,10.0,0.57,43
d1,7000,Apple,2,10.0,0.86,44
d1,7000,Apple,3,10.0,1.06,45
d1,7000,Apple,4,10.0,2.11,46
d1,7000,Apple,5,10.0,1.53,42
d1,7000,Apple,6,10.0,0.74,43
d1,7000,Apple,7,10.0,0.97,44
d1,7000,Apple,8,10.0,0.8,45
d1,7000,Apple,9,10.0,1.21,46
d1,7000,CLiP-tuned,0,1.6,4.38,42
d1,7000,CLiP-tuned,1,1.2,4.65,43
d1,7000,CLiP-tuned,2,2.3,5.6,44
d1,7000,CLiP-tuned,3,2.9,4.15,45
d1,7000,CLiP-tuned,4,3.2,4.84,46
d1,7000,CLiP-tuned,5,2.6,5.22,42
d1,7000,CLiP-tuned,6,2.5,4.18,43
d1,7000,CLiP-tuned,7,3.6,4.73,44
d1,7000,CLiP-tuned,8,3.2,4.15,45
d1,7000,CLiP-tuned,9,2.6,5.53,46
d2,3000,Apple,0,13.0,0.61,42
d2,3000,Apple,1,13.0,0.67,43
d2,3000,Apple,2,13.0,0.8,44
d2,3000,Apple,3,13.0,1.65,45
d2,3000,Apple,4,13.0,1.32,46
d2,3000,Apple,5,13.0,0.71,42
d2,3000,Apple,6,13.0,0.92,43
d2,3000,Apple,7,13.0,0.84,44
d2,3000,Apple,8,13.0,0.84,45
d2,3000,Apple,9,13.0,1.01,46
d2,3000,CLiP-tuned,0,4.9,4.48,42
d2,3000,CLiP-tuned,1,3.2,5.46,43
d2,3000,CLiP-tuned,2,6.7,4.42,44
d2,3000,CLiP-tuned,3,6.2,5.31,45
d2,3000,CLiP-tuned,4,3.3,5.06,46
d2,3000,CLiP-tuned,5,4.9,4.04,42
d2,3000,CLiP-tuned,6,3.2,4.74,43
d2,3000,CLiP-tuned,7,4.7,4.21,44
d2,3000,CLiP-tuned,8,3.8,5.14,45
d2,3000,CLiP-tuned,9,4.1,4.57,46
d2,4000,Apple,0,13.0,1.28,42
d2,4000,Apple,1,13.0,0.4,43
d2,4000,Apple,2,13.0,0.8,44
d2,4000,Apple,3,13.0,0.63,45
d2,4000,Apple,4,13.0,1.44,46
d2,4000,Apple,5,13.0,1.11,42
d2,4000,Apple,6,13.0,1.24,43
d2,4000,Apple,7,13.0,0.79,44
d2,4000,Apple,8,13.0,1.44,45
d2,4000,Apple,9,13.0,0.92,46
d2,4000,CLiP-tuned,0,4.9,5.57,42
d2,4000,CLiP-tuned,1,3.2,5.85,43
d2,4000,CLiP-tuned,2,2.9,5.53,44
d2,4000,CLiP-tuned,3,3.7,5.69,45
d2,4000,CLiP-tuned,4,3.3,5.06,46
d2,4000,CLiP-tuned,5,3.2,4.34,42
d2,4000,CLiP-tuned,6,5.2,4.33,43
d2,4000,CLiP-tuned,7,5.2,4.15,44
d2,4000,CLiP-tuned,8,5.8,4.17,45
d2,4000,CLiP-tuned,9,4.6,5.29,46
d2,6000,Apple,0,13.0,1.33,42
d2,6000,Apple,1,13.0,0.52,43
d2,6000,Apple,2,13.0,0.29,44
d2,6000,Apple,3,13.0,1.0,45
d2,6000,Apple,4,13.0,0.6,46
d2,6000,Apple,5,13.0,0.48,42
d2,6000,Apple,6,13.0,0.44,43
d2,6000,Apple,7,13.0,1.08,44
d2,6000,Apple,8,13.0,0.79,45
d2,6000,Apple,9,13.0,0.68,46
d2,6000,CLiP-tuned,0,4.1,5.17,42
d2,6000,CLiP-tuned,1,3.5,5.32,43
d2,6000,CLiP-tuned,2,4.7,5.23,44
d2,6000,CLiP-tuned,3,3.7,4.04,45
d2,6000,CLiP-tuned,4,3.7,4.15,46
d2,6000,CLiP-tuned,5,4.9,4.75,42
d2,6000,CLiP-tuned,6,4.2,4.4,43
d2,6000,CLiP-tuned,7,1.4,4.26,44
d2,6000,CLiP-tuned,8,2.2,5.47,45
d2,6000,CLiP-tuned,9,2.8,5.65,46
d2,7000,Apple,0,13.0,0.47,42
d2,7000,Apple,1,13.0,0.83,43
d2,7000,Apple,2,13.0,1.02,44
d2,7000,Apple,3,13.0,1.16,45
d2,7000,Apple,4,13.0,0.56,46
d2,7000,Apple,5,13.0,1.98,42
d2,7000,Apple,6,13.0,0.47,43
d2,7000,Apple,7,13.0,0.98,44
d2,7000,Apple,8,13.0,0.75,45
d2,7000,Apple,9,13.0,1.29,46
d2,7000,CLiP-tuned,0,4.9,4.36,42
d2,7000,CLiP-tuned,1,5.1,4.76,43
d2,7000,CLiP-tuned,2,2.9,4.57,44
d2,7000,CLiP-tuned,3,2.6,4.96,45
d2,7000,CLiP-tuned,4,1.7,5.38,46
d2,7000,CLiP-tuned,5,2.1,4.64,42
d2,7000,CLiP-tuned,6,3.0,6.22,43
d2,7000,CLiP-tuned,7,4.7,4.07,44
d2,7000,CLiP-tuned,8,4.6,4.14,45
d2,7000,CLiP-tuned,9,2.8,4.4,46
d3,3000,Apple,0,7.0,32.6,42
d3,3000,Apple,1,7.0,4.57,43
d3,3000,Apple,2,7.0,2.82,44
d3,3000,Apple,3,7.0,27.61,45
d3,3000,Apple,4,7.0,57.39,46
